"市区町村コード","課税年度","宛名番号","郵便番号","住所_都道府県","住所_市区郡町村名","住所_町字","住所_番地号表記","住所_方書","氏名（振り仮名）","氏名","生年月日"
"65440","2025","23","3847095","新潟県","港区","船堀","51-35","","ナカムラユタカ","中村豊","'1968/08/27'"
"59754","2025","24","7700263","埼玉県","□□村","青山","4-74","","イノウエサトシ","井上聡","'1965/07/11'"
"64846","2025","25","5928683","京都府","南区","丸の内","49-3-6","マンション〇〇 101号室","ヤマグチマサ","山口雅","'1959/10/18'"
"42722","2025","26","3471027","青森県","△△区","表参道","98-98-16","","モリサブロウ","森三郎","'1960/09/06'"
"39446","2025","27","2754381","茨城県","港区","浅草","3-76-11","アパート△△ 2F","ヤマザキアキラ","山崎明","'2009/07/26'"
"58409","2025","28","5240706","茨城県","△△区","恵比寿","1-45","","ワタナベマサル","渡辺勝","'1975/11/17'"
"82119","2025","29","2970401","徳島県","南区","浅草","66-44","","ヤマダカズコ","山田和子","'1986/04/27'"
"55136","2025","30","8060204","福岡県","中央区","船堀","99-92-7","","コバヤシタカシ","小林隆","'1981/08/30'"
"68467","2025","31","5900520","静岡県","世田谷区","田町","67-87-20","","タナカヒロシ","田中浩","'1975/11/01'"
"23522","2025","32","8170283","岡山県","〇〇市","銀座","34-26-10","","コンドウアイコ","近藤愛子","'1977/08/11'"
"40571","2025","33","2165396","三重県","××町","赤坂","59-13-10","","マツモトカズコ","松本和子","'1959/08/30'"
"55286","2025","34","1939460","新潟県","渋谷区","品川","33-71-13","","シミズシロウ","清水四郎","'1961/01/09'"
"54617","2025","35","7216688","三重県","中央区","表参道","52-14-9","","コンドウヒロシ","近藤博","'1977/01/27'"
"47420","2025","36","6135504","北海道","新宿区","目黒","93-35","","サトウオサム","佐藤修","'1973/10/23'"
"20865","2025","37","9743963","新潟県","練馬区","有楽町","34-13-9","","ヨシダタカシ","吉田隆","'1981/11/24'"
"73247","2025","38","9013890","富山県","足立区","銀座","82-54","","ハセガワオサム","長谷川修","'1999/05/31'"
"56940","2025","39","8192637","愛知県","新宿区","原宿","77-12-14","マンション〇〇 101号室","ヤマダシゲル","山田茂","'1960/03/17'"
"37876","2025","40","9744694","北海道","西区","浜松町","95-12","","マエダヨウコ","前田洋子","'1986/03/02'"
"93231","2025","41","4014244","福岡県","〇〇市","表参道","41-25","","ハヤシオサム","林修","'1952/07/12'"
"25399","2025","42","2748225","北海道","△△区","渋谷","39-88","","シミズタカシ","清水隆","'2005/05/08'"
"84421","2025","43","6755943","岐阜県","南区","大手町","43-9","","ナカムラカズコ","中村和子","'2010/11/30'"
"73554","2025","44","2984236","青森県","杉並区","銀座","40-8","","タナカアイコ","田中愛子","'2003/06/20'"
"74473","2025","45","2690134","福岡県","□□村","原宿","13-66","","スズキナオコ","鈴木直子","'1975/02/06'"
"46651","2025","46","3963556","高知県","練馬区","池袋","21-63-13","","スズキジロウ","鈴木次郎","'1962/05/15'"
"61356","2025","47","9019189","岡山県","南区","船堀","49-58","","ナカムラマナブ","中村学","'1990/06/29'"
"60362","2025","48","4873505","福井県","中央区","恵比寿","8-97","マンション〇〇 101号室","オカダタダシ","岡田正","'1951/05/28'"
"13974","2025","49","8011333","富山県","東区","赤坂","91-63-11","","モリゴロウ","森五郎","'1964/06/16'"
"49265","2025","50","5443451","岐阜県","新宿区","新宿","69-79","","サイトウケイコ","斎藤恵子","'1972/10/04'"
"90610","2025","51","2010898","山形県","港区","新橋","29-51-1","","コバヤシススム","小林進","'1999/12/07'"
"31424","2025","52","7329619","鹿児島県","○○郡○○町","青山","85-59","","オカダミノル","岡田実","'1989/10/15'"
"30669","2025","53","9556050","長崎県","足立区","上野","58-72-18","","イケダユウ","池田裕","'1996/10/28'"
"79335","2025","54","5798848","山梨県","□□村","上野","52-24-14","","ハシモトタダシ","橋本正","'1964/06/27'"
"51086","2025","55","9665661","京都府","西区","新宿","71-94-14","","タカハシタダシ","高橋正","'1984/04/21'"
"39412","2025","56","3618977","栃木県","練馬区","赤坂","63-46-11","","タナカヒデ","田中秀","'2000/05/18'"
"38763","2025","57","7393334","鹿児島県","足立区","目黒","25-64","","ハセガワアキラ","長谷川明","'1953/12/22'"
"33433","2025","58","5562027","東京都","○○郡○○町","西葛西","67-64-16","","マエダサブロウ","前田三郎","'1995/08/06'"
"71269","2025","59","4666207","滋賀県","練馬区","西葛西","74-99","","ナカムラシゲル","中村茂","'1973/04/11'"
"37120","2025","60","9576840","宮城県","新宿区","表参道","64-9","","キムラカズコ","木村和子","'1992/07/08'"
"12495","2025","61","1828935","三重県","△△区","目黒","27-5","マンション〇〇 101号室","モリゴロウ","森五郎","'1988/12/06'"
"93553","2025","62","6056288","宮崎県","中央区","銀座","81-79-14","","コバヤシタカシ","小林隆","'1954/07/18'"
"55087","2025","63","5517166","宮崎県","△△区","丸の内","85-11","","ハセガワマコト","長谷川誠","'2008/11/15'"
"27333","2025","64","5871710","茨城県","渋谷区","丸の内","67-20","","ムラカミタロウ","村上太郎","'1964/06/03'"
"34192","2025","65","6119102","岡山県","中央区","西葛西","24-40","","ヤマザキゴロウ","山崎五郎","'1952/02/19'"
"58554","2025","66","7695587","佐賀県","渋谷区","青山","1-19-5","","カトウアキラ","加藤明","'1979/08/22'"
"87921","2025","67","3364171","鳥取県","足立区","上野","54-38","","イノウエサトシ","井上聡","'1958/12/17'"
"55633","2025","68","8238236","宮城県","西区","恵比寿","8-1","","ワタナベユタカ","渡辺豊","'1964/04/15'"
"65759","2025","69","9764650","福島県","○○郡○○町","原宿","74-67","ビル××　3階","ハシモトアキラ","橋本明","'1963/03/11'"
"53447","2025","70","1745629","福岡県","世田谷区","田町","55-58","","ナカムラアキラ","中村明","'1962/06/10'"
"82875","2025","71","7692978","大分県","世田谷区","新橋","5-21-8","マンション〇〇 101号室","ヤマダサトシ","山田聡","'1988/05/03'"
"88551","2025","72","1364834","徳島県","練馬区","銀座","69-69","","ヨシダアキラ","吉田明","'1987/03/05'"
"80938","2025","73","2032214","沖縄県","△△区","品川","63-48-11","アパート△△ 2F","フジタタカシ","藤田隆","'1998/01/29'"
"60443","2025","74","1476216","岡山県","○○郡○○町","西葛西","60-25","","タカハシミノル","高橋実","'1979/02/07'"
"77137","2025","75","1269289","秋田県","○○郡○○町","目黒","6-28","","オカダシロウ","岡田四郎","'1998/12/08'"
"46104","2025","76","7407771","福島県","世田谷区","丸の内","48-74-18","ビル××　3階","ナカムラサブロウ","中村三郎","'2005/06/15'"
"14020","2025","77","4928785","愛知県","板橋区","上野","10-56-1","ビル××　3階","ヤマザキアキラ","山崎昭","'1958/04/17'"
"75397","2025","78","3450599","群馬県","新宿区","恵比寿","29-5","ビル××　3階","ゴトウアイコ","後藤愛子","'1969/12/16'"
"59781","2025","79","7468899","岡山県","世田谷区","恵比寿","70-10-1","","イノウエケイコ","井上恵子","'2005/10/18'"
"59358","2025","80","4315829","大阪府","練馬区","浅草","52-97","","ムラカミタダシ","村上正","'1999/06/19'"
"72122","2025","81","1571956","滋賀県","新宿区","田町","45-44","","イトウサトシ","伊藤聡","'1964/03/01'"
"13400","2025","82","5648264","千葉県","××町","浅草","77-9-3","","ハヤシナオコ","林直子","'1964/06/12'"
"77559","2025","83","4698248","東京都","杉並区","上野","6-29-1","","キムラカズコ","木村和子","'1992/09/29'"
"50444","2025","84","3725880","福岡県","△△区","丸の内","14-78","","シミズシゲル","清水茂","'2006/01/08'"
"15886","2025","85","7435084","山梨県","新宿区","虎ノ門","79-66-18","","シミズヒデ","清水秀","'1973/03/29'"
"51652","2025","86","8230256","兵庫県","北区","原宿","96-34","","イトウケン","伊藤健","'1958/08/23'"
"20587","2025","87","2149863","鳥取県","板橋区","原宿","54-74-12","アパート△△ 2F","ハシモトヒロシ","橋本浩","'1956/11/09'"
"32039","2025","88","9000535","徳島県","杉並区","上野","46-39","ビル××　3階","ハヤシヒロシ","林浩","'2009/10/14'"
"88316","2025","89","7377785","千葉県","新宿区","丸の内","47-28","","ハラダタロウ","原田太郎","'1964/05/05'"
"74323","2025","90","3312987","鳥取県","西区","船堀","97-40-16","アパート△△ 2F","マエダヒロシ","前田浩","'2003/06/20'"
"32691","2025","91","8931901","千葉県","足立区","品川","10-42","","ワタナベゴロウ","渡辺五郎","'2009/01/21'"
"22652","2025","92","8489217","山口県","板橋区","新橋","53-33","","シミズマサル","清水勝","'1968/03/12'"
"82562","2025","93","6539738","山梨県","北区","葛西","64-63","","イケダオサム","池田修","'1976/01/08'"
"39111","2025","94","8195034","愛媛県","南区","船堀","92-27-11","","イケダタロウ","池田太郎","'1995/02/02'"
"33347","2025","95","1156424","埼玉県","△△区","田町","22-24","","イケダタロウ","池田太郎","'2002/06/03'"
"77095","2025","96","2056802","熊本県","○○郡○○町","上野","39-95","ビル××　3階","ヤマダススム","山田進","'1959/06/28'"
"40459","2025","97","1574107","東京都","中央区","上野","22-38-15","","コバヤシタカシ","小林隆","'2003/02/25'"
"74406","2025","98","9614366","徳島県","○○郡○○町","恵比寿","8-45-6","","イシダアイコ","石田愛子","'2006/12/01'"
"83159","2025","99","9553165","岐阜県","渋谷区","上野","92-44","","ゴトウヒデ","後藤秀","'1969/11/17'"
"11372","2025","100","7248824","熊本県","板橋区","銀座","15-50","","シミズユウ","清水裕","'1974/04/12'"
"60294","2025","101","2431832","和歌山県","東区","小岩","31-60","","イシカワサトシ","石川聡","'1961/03/30'"
"38822","2025","102","9073524","愛知県","東区","虎ノ門","85-66","","ムラカミシロウ","村上四郎","'1984/06/30'"
"47465","2025","103","7901790","三重県","新宿区","田町","1-37-17","アパート△△ 2F","ヤマグチミサキ","山口美咲","'2007/10/22'"
"10357","2025","104","4487763","佐賀県","××町","有楽町","95-74","","ヤマグチミノル","山口実","'2002/09/08'"
"17190","2025","105","2364305","岩手県","北区","銀座","76-45","","タナカススム","田中進","'1954/08/14'"
"23505","2025","106","9308798","長野県","港区","大手町","12-48-19","","カトウヒロシ","加藤博","'1972/01/28'"
"68486","2025","107","3126816","沖縄県","東区","品川","79-97-14","ビル××　3階","イトウマナブ","伊藤学","'1988/01/24'"
"27750","2025","108","6853849","佐賀県","渋谷区","浜松町","92-66","アパート△△ 2F","タカハシススム","高橋進","'1987/05/26'"
"99432","2025","109","5089640","富山県","○○郡○○町","船堀","12-33","","ヤマザキヒデ","山崎秀","'1973/10/08'"
"46834","2025","110","9501960","神奈川県","△△区","恵比寿","67-36-9","マンション〇〇 101号室","ハセガワケイコ","長谷川恵子","'1981/08/03'"
"77774","2025","111","8596606","岡山県","西区","丸の内","23-13","","イノウエジロウ","井上次郎","'1986/10/24'"
"50390","2025","112","3041681","青森県","△△区","新宿","34-2","アパート△△ 2F","ハシモトマサル","橋本勝","'2001/05/26'"
"90479","2025","113","5810694","鳥取県","世田谷区","丸の内","35-91","","ムラカミマサ","村上雅","'1977/06/01'"
"13096","2025","114","6356993","高知県","〇〇市","東葛西","14-41-20","","コバヤシユタカ","小林豊","'1968/10/16'"
"61717","2025","115","2770676","長野県","足立区","東葛西","60-89","","ハセガワゴロウ","長谷川五郎","'2009/01/28'"
"81504","2025","116","5166745","新潟県","南区","原宿","89-14-20","","イシカワマサ","石川雅","'1967/08/16'"
"86963","2025","117","4648728","長崎県","渋谷区","渋谷","40-63","","イシカワマナブ","石川学","'1982/12/07'"
"70057","2025","118","5628106","静岡県","新宿区","表参道","19-84-18","ビル××　3階","ゴトウヒデ","後藤秀","'1985/09/24'"
"17322","2025","119","8156114","沖縄県","世田谷区","虎ノ門","87-1","マンション〇〇 101号室","キムラサブロウ","木村三郎","'1965/01/22'"
"57615","2025","120","9178460","鹿児島県","渋谷区","葛西","95-96","","サイトウミノル","斎藤実","'1957/07/09'"
"60721","2025","121","2610994","沖縄県","渋谷区","新橋","61-3","マンション〇〇 101号室","コバヤシハナコ","小林花子","'2000/08/01'"
"44638","2025","122","9761024","大分県","渋谷区","東葛西","84-42","","ヨシダハナコ","吉田花子","'2010/04/22'"
"25148","2025","123","3873962","富山県","□□村","虎ノ門","78-12","","ヤマザキユタカ","山崎豊","'2001/06/15'"
"67940","2025","124","4709143","福島県","西区","目黒","54-30","","ハシモトマコト","橋本誠","'1988/06/19'"
"69526","2025","125","3146077","島根県","練馬区","表参道","8-51","","コバヤシシロウ","小林四郎","'1982/08/17'"
"20090","2025","126","6263404","千葉県","○○郡○○町","新宿","2-77-20","","コバヤシゴロウ","小林五郎","'1976/07/29'"
"44796","2025","127","9955915","福井県","練馬区","亀戸","83-42-6","","ハラダカズコ","原田和子","'1974/01/23'"
"59890","2025","128","6645957","長野県","○○郡○○町","亀戸","71-54","","イケダゴロウ","池田五郎","'1954/12/23'"
"98835","2025","129","6671145","岩手県","北区","浅草","46-65-10","","カトウアキラ","加藤昭","'2010/07/31'"
"67969","2025","130","9334679","新潟県","中央区","小岩","74-9","","ヨシダヨウコ","吉田洋子","'1961/11/04'"
"69619","2025","131","2027701","千葉県","北区","浅草","95-39-14","アパート△△ 2F","イシダジロウ","石田次郎","'1994/11/09'"
"28294","2025","132","9355733","高知県","○○郡○○町","原宿","31-39","","マエダサトシ","前田聡","'1958/08/05'"
"67615","2025","133","4640234","岩手県","南区","新橋","88-64","","コンドウヒロシ","近藤浩","'1984/09/03'"
"30601","2025","134","7937226","高知県","新宿区","虎ノ門","14-61","","ムラカミジロウ","村上次郎","'2002/08/18'"
"15846","2025","135","6642511","秋田県","〇〇市","原宿","53-74","","タナカアキラ","田中昭","'1963/04/12'"
"71963","2025","136","4624967","石川県","〇〇市","上野","78-7","","ヨシダアキラ","吉田明","'1971/04/19'"
"44041","2025","137","4724144","石川県","渋谷区","浜松町","85-77","アパート△△ 2F","ゴトウユウ","後藤裕","'1957/08/12'"
"94158","2025","138","9288755","岩手県","世田谷区","新宿","13-6","","ヤマザキヨウコ","山崎洋子","'1957/05/26'"
"95511","2025","139","8955721","大分県","港区","丸の内","61-79","","ヤマグチミサキ","山口美咲","'1973/09/01'"
"66887","2025","140","5601808","栃木県","足立区","渋谷","67-22","","ハセガワシゲル","長谷川茂","'1965/09/09'"
"74666","2025","141","3045348","宮崎県","〇〇市","浜松町","84-47","","ヨシダマサル","吉田勝","'1968/03/21'"
"57793","2025","142","8482647","岡山県","足立区","虎ノ門","91-92","","コンドウアイコ","近藤愛子","'1951/01/26'"
"20633","2025","143","8430718","島根県","板橋区","錦糸町","73-18","","シミズタロウ","清水太郎","'1966/12/23'"
"90021","2025","144","2972152","兵庫県","板橋区","錦糸町","28-76","","イケダアイコ","池田愛子","'2010/07/15'"
"47282","2025","145","3543372","佐賀県","中央区","渋谷","93-86","","タナカマサル","田中勝","'1989/11/01'"
"76561","2025","146","8067090","鹿児島県","板橋区","恵比寿","80-3-18","","イシカワヒデ","石川秀","'1993/09/28'"
"54237","2025","147","5856666","栃木県","○○郡○○町","浜松町","44-23-6","","シミズハナコ","清水花子","'1993/12/12'"
"66877","2025","148","9257131","富山県","港区","恵比寿","56-44","","モリミノル","森実","'1983/01/31'"
"74486","2025","149","2992250","岡山県","南区","浜松町","27-65","","コンドウサブロウ","近藤三郎","'2007/11/25'"
"44419","2025","150","5744004","鳥取県","中央区","品川","33-86","","イシダハナコ","石田花子","'1979/01/02'"
"84792","2025","151","2005655","佐賀県","西区","上野","99-83","","タナカタロウ","田中太郎","'1998/04/18'"
"68076","2025","152","1526939","兵庫県","世田谷区","虎ノ門","68-25","","ヤマザキマサ","山崎雅","'1969/06/03'"
"95886","2025","153","8804028","東京都","××町","池袋","16-86","","イトウサトシ","伊藤聡","'1958/08/12'"
"76408","2025","154","5876746","山形県","渋谷区","大手町","11-32","","オカダユタカ","岡田豊","'1977/02/19'"
"50662","2025","155","1709837","愛知県","渋谷区","恵比寿","90-71","","フジタマコト","藤田誠","'1958/04/30'"
"10217","2025","156","9508579","香川県","渋谷区","銀座","87-39-16","","シミズミサキ","清水美咲","'1971/08/18'"
"21899","2025","157","2032227","栃木県","東区","霞が関","4-94-2","","フジタケン","藤田健","'2009/04/22'"
"34559","2025","158","4992963","長崎県","世田谷区","船堀","6-54-17","","フジタマコト","藤田誠","'1978/04/28'"
"66132","2025","159","5425488","岩手県","世田谷区","原宿","23-29","","ヨシダヒデ","吉田秀","'1991/02/18'"
"81306","2025","160","7631874","神奈川県","渋谷区","錦糸町","84-18","アパート△△ 2F","ヤマザキヒデ","山崎秀","'1997/02/15'"
"29592","2025","161","2444399","大阪府","××町","小岩","62-96-9","マンション〇〇 101号室","ワタナベナオコ","渡辺直子","'1993/07/07'"
"28472","2025","162","7520839","富山県","××町","錦糸町","76-3","","スズキヒロシ","鈴木博","'1965/02/19'"
"59227","2025","163","5473273","新潟県","練馬区","浅草","17-1","","ゴトウマコト","後藤誠","'1989/05/23'"
"59404","2025","164","8783639","静岡県","西区","船堀","6-47","","イシカワヒデ","石川秀","'1982/04/19'"
"90871","2025","165","9581029","新潟県","南区","小岩","61-6","","タカハシナオコ","高橋直子","'1966/07/27'"
"33466","2025","166","3696263","高知県","杉並区","船堀","54-95","","ヤマダヨウコ","山田洋子","'1960/04/11'"
"74576","2025","167","9863384","北海道","中央区","葛西","63-87","","ハヤシタカシ","林隆","'1993/06/16'"
"12929","2025","168","7265352","長野県","世田谷区","浜松町","86-79","","コンドウヨウコ","近藤洋子","'1990/09/16'"
"25310","2025","169","7193378","大分県","杉並区","目黒","76-81","","マエダシロウ","前田四郎","'2010/06/11'"
"74662","2025","170","5806245","群馬県","△△区","池袋","87-64-2","","ムラカミサトシ","村上聡","'1994/07/25'"
"10982","2025","171","3128460","奈良県","板橋区","大手町","87-76","","スズキススム","鈴木進","'1966/03/14'"
"30358","2025","172","4706807","群馬県","足立区","虎ノ門","13-81","","オカダケン","岡田健","'1994/08/24'"
"18309","2025","173","8212817","岐阜県","東区","表参道","98-86-18","","ヤマグチヒデ","山口秀","'1966/10/16'"
"95719","2025","174","4026977","山形県","新宿区","池袋","20-54","","ムラカミヒロシ","村上浩","'1992/01/26'"
"81130","2025","175","8456274","石川県","港区","赤坂","34-99","","ワタナベアイコ","渡辺愛子","'1964/05/06'"
"65806","2025","176","4108598","福井県","××町","丸の内","19-61-18","","ヤマグチシゲル","山口茂","'1969/05/18'"
"39935","2025","177","1138673","石川県","港区","船堀","60-92","","イシダアイコ","石田愛子","'1958/08/31'"
"13860","2025","178","1275486","愛知県","中央区","虎ノ門","64-59","","ヤマグチサブロウ","山口三郎","'1997/09/17'"
"12285","2025","179","1913076","宮崎県","練馬区","新橋","87-79-17","","カトウマコト","加藤誠","'2010/02/20'"
"15254","2025","180","8041068","茨城県","□□村","亀戸","2-23","","イケダジロウ","池田次郎","'1955/06/25'"
"47485","2025","181","1589828","宮城県","〇〇市","船堀","77-55-20","","ナカムラマサ","中村雅","'2005/11/16'"
"13103","2025","182","8882219","香川県","××町","西葛西","82-66","","マエダマサ","前田雅","'1992/08/05'"
"45002","2025","183","1702555","三重県","南区","丸の内","24-84-13","","オカダミノル","岡田実","'1952/05/30'"
"68238","2025","184","9865425","広島県","南区","西葛西","38-41","","タカハシサトシ","高橋聡","'1992/04/30'"
"86137","2025","185","9653326","茨城県","足立区","葛西","68-59-6","","ヤマグチシゲル","山口茂","'1954/01/18'"
"95210","2025","186","6224205","福島県","南区","目黒","97-84-16","","サトウマナブ","佐藤学","'1973/08/17'"
"83695","2025","187","3135966","岡山県","東区","亀戸","11-87","","タナカヒデ","田中秀","'1976/01/16'"
"93843","2025","188","5472319","埼玉県","板橋区","霞が関","12-47","マンション〇〇 101号室","キムラアキラ","木村明","'1989/05/31'"
"74682","2025","189","5435586","埼玉県","杉並区","銀座","73-22","","ヤマグチマサル","山口勝","'1969/12/16'"
"84083","2025","190","9588677","熊本県","足立区","品川","87-21","アパート△△ 2F","コンドウアキラ","近藤昭","'1972/04/26'"
"88809","2025","191","9076347","長崎県","渋谷区","上野","79-24","","コバヤシカズコ","小林和子","'1962/12/26'"
"29713","2025","192","9424751","岡山県","練馬区","新宿","41-18","","ムラカミススム","村上進","'2002/08/12'"
"12936","2025","193","4075749","兵庫県","□□村","目黒","84-16","","ハセガワヒロシ","長谷川浩","'2009/08/04'"
"96696","2025","194","4141069","福井県","××町","西葛西","46-69","マンション〇〇 101号室","イシカワシロウ","石川四郎","'1951/07/21'"
"50609","2025","195","9741385","徳島県","渋谷区","池袋","12-12-2","","マエダタカシ","前田隆","'1961/02/05'"
"31430","2025","196","6408406","長野県","○○郡○○町","池袋","33-92","ビル××　3階","ヨシダケン","吉田健","'1959/06/17'"
"97639","2025","197","9170633","愛媛県","中央区","表参道","58-79-12","","ヤマザキユウ","山崎裕","'1999/04/01'"
"89789","2025","198","1748890","新潟県","西区","恵比寿","52-20","","イノウエナオコ","井上直子","'1980/02/25'"
"67000","2025","199","7027046","大分県","□□村","原宿","52-96","マンション〇〇 101号室","イトウハナコ","伊藤花子","'1979/11/30'"
"43915","2025","200","2593159","群馬県","足立区","錦糸町","23-66","アパート△△ 2F","ハシモトアキラ","橋本明","'1961/08/23'"
"12428","2025","201","2525469","三重県","世田谷区","亀戸","29-83-1","アパート△△ 2F","ナカムラヒデ","中村秀","'1997/11/10'"
"67025","2025","202","7443118","富山県","中央区","田町","76-52","","イノウエユタカ","井上豊","'1958/01/10'"
"98129","2025","203","5558687","茨城県","西区","錦糸町","25-46","ビル××　3階","ヤマザキハナコ","山崎花子","'1979/03/30'"
"81019","2025","204","1426196","愛媛県","渋谷区","小岩","23-87","","シミズタダシ","清水正","'1990/01/15'"
"16731","2025","205","4091162","新潟県","○○郡○○町","目黒","42-9","","イシダサトシ","石田聡","'1989/10/07'"
"76335","2025","206","9486665","三重県","新宿区","浜松町","48-47-7","ビル××　3階","オカダシロウ","岡田四郎","'1996/10/18'"
"28294","2025","207","5962918","埼玉県","〇〇市","目黒","16-39","","ハシモトマサル","橋本勝","'2004/11/19'"
"10679","2025","208","6602694","茨城県","渋谷区","船堀","13-43","","マツモトマサル","松本勝","'1974/07/11'"
"63493","2025","209","7250699","鳥取県","△△区","虎ノ門","56-3","","イノウエアキラ","井上昭","'1995/12/01'"
"89330","2025","210","8053658","東京都","港区","小岩","61-70-6","","ハヤシススム","林進","'1999/10/27'"
"69684","2025","211","4130552","宮崎県","足立区","田町","64-63-11","マンション〇〇 101号室","イトウヒロシ","伊藤浩","'1966/03/27'"
"15936","2025","212","6412004","大分県","港区","表参道","6-99","マンション〇〇 101号室","ヤマダサトシ","山田聡","'1972/04/16'"
"47209","2025","213","2027017","北海道","××町","原宿","70-93","","スズキナオコ","鈴木直子","'1968/01/20'"
"23031","2025","214","5872104","沖縄県","板橋区","丸の内","56-2-18","アパート△△ 2F","イシダアキラ","石田昭","'1968/10/20'"
"21169","2025","215","7162871","長野県","渋谷区","表参道","81-13-5","","ハシモトマサ","橋本雅","'2010/08/24'"
"30707","2025","216","4700757","三重県","南区","目黒","41-75-17","","イシダヒデ","石田秀","'1980/11/25'"
"84266","2025","217","6391550","岡山県","△△区","有楽町","91-40","","タカハシシゲル","高橋茂","'1952/11/24'"
"33243","2025","218","8939391","京都府","〇〇市","新橋","37-84","マンション〇〇 101号室","イトウジロウ","伊藤次郎","'1973/04/01'"
"64685","2025","219","8256800","福岡県","足立区","葛西","97-49-13","マンション〇〇 101号室","モリカズコ","森和子","'2009/01/26'"
"36290","2025","220","6559179","滋賀県","△△区","原宿","36-39-11","","サイトウユウ","斎藤裕","'1959/11/15'"
"37762","2025","221","7142613","福岡県","渋谷区","銀座","24-78-1","","モリタカシ","森隆","'1989/08/15'"
"68929","2025","222","5009287","山形県","△△区","新宿","54-79","","タナカマサル","田中勝","'2004/12/17'"
"63023","2025","223","4771259","和歌山県","北区","目黒","98-35","アパート△△ 2F","イトウケイコ","伊藤恵子","'1979/10/10'"
"70977","2025","224","1187009","北海道","東区","東葛西","39-23","","ワタナベナオコ","渡辺直子","'1997/11/05'"
"32850","2025","225","5502912","岐阜県","△△区","新橋","50-44","","カトウサブロウ","加藤三郎","'1990/11/18'"
"86022","2025","226","1689815","大阪府","板橋区","渋谷","28-70","","イケダマサ","池田雅","'2000/11/25'"
"39024","2025","227","8784251","島根県","中央区","田町","39-61","","ヨシダユタカ","吉田豊","'1979/12/12'"
"47810","2025","228","6720632","愛知県","東区","渋谷","31-25-5","","コバヤシマサ","小林雅","'1985/06/30'"
"90492","2025","229","7561488","福岡県","足立区","丸の内","1-26","","イシカワユミ","石川由美","'1993/10/05'"
"45363","2025","230","2065886","新潟県","練馬区","浅草","59-31","","イシカワタダシ","石川正","'1989/03/29'"
"66880","2025","231","4345892","茨城県","○○郡○○町","錦糸町","72-26","","ハラダヒロシ","原田浩","'1955/09/20'"
"36789","2025","232","4015597","鹿児島県","××町","有楽町","39-38-8","","サトウミノル","佐藤実","'2004/09/24'"
"38524","2025","233","4530959","沖縄県","南区","虎ノ門","64-18","","ワタナベヒロシ","渡辺浩","'1951/12/30'"
"34284","2025","234","7540560","大分県","□□村","恵比寿","19-50","","ハシモトシゲル","橋本茂","'1973/03/14'"
